"fishery","family","resilience","name","comm_name","species","r","k"
"Demersal trawl fishery","Gadidae","Medium","Haddock (Melanogrammus aeglefinus)","Haddock","Melanogrammus aeglefinus",0.289057946280787,218
"Demersal trawl fishery","Gadidae","Medium","Atlantic cod (Gadus morhua)","Atlantic cod","Gadus morhua",0.370675198573464,97
"Demersal trawl fishery","Sebastidae","Low","Acadian redfish (Sebastes fasciatus)","Acadian redfish","Sebastes fasciatus",0.178377970137228,665
"Demersal trawl fishery","Pleuronectidae","Low","Yellowtail flounder (Limanda ferruginea)","Yellowtail flounder","Limanda ferruginea",0.291106297400296,35
"Demersal trawl fishery","Pleuronectidae","Low","American plaice (Hippoglossoides platessoides)","American plaice","Hippoglossoides platessoides",0.135034773488752,38
"Demersal trawl fishery","Phycidae","Low","White hake (Urophycis tenuis)","White hake","Urophycis tenuis",0.196707246019875,39
"Demersal trawl fishery","Pleuronectidae","Low","Witch flounder (Glyptocephalus cynoglossus)","Witch flounder","Glyptocephalus cynoglossus",0.155206830540011,17
"Demersal trawl fishery","Pleuronectidae","Medium","Winter flounder (Pseudopleuronectes americanus)","Winter flounder","Pseudopleuronectes americanus",0.344354751994661,18
"Demersal trawl fishery","Scophthalmidae","Medium","Windowpane (Scophthalmus aquosus)","Windowpane","Scophthalmus aquosus",0.555445083335258,21
"Demersal trawl fishery","Pleuronectidae","Very low","Atlantic halibut (Hippoglossus hippoglossus)","Atlantic halibut","Hippoglossus hippoglossus",0.10661881467395,97
