"name_format","comm_name","sci_name","c_avg","c_perc","c_format"
"Machuelo (Opisthonema oglinum)","Machuelo","Opisthonema oglinum",1139.0261,30.7269212567768,"1139 / 30.7%"
"Raya americana (Dasyatis americana)","Raya americana","Dasyatis americana",398.890846,10.7606731883414,"398.9 / 10.8%"
"Patao-Mojarra (Gerres cinereus)","Patao-Mojarra","Gerres cinereus",332.8187,8.97827888902881,"332.8 / 9%"
"Biajaiba (Lutjanus synagris)","Biajaiba","Lutjanus synagris",284.8242,7.68355594786146,"284.8 / 7.7%"
"Obispo (Aetobatus narinari)","Obispo","Aetobatus narinari",244.851864,6.60524279882877,"244.9 / 6.6%"
"Pargo Criollo (Lutjanus analis)","Pargo Criollo","Lutjanus analis",198.9666,5.36741963237594,"199 / 5.4%"
"Sierra-Serrucho (Scomberomorus cavalla)","Sierra-Serrucho","Scomberomorus cavalla",134.9036,3.63922503132783,"134.9 / 3.6%"
"Sardina de Ley (Harengula humeralis)","Sardina de Ley","Harengula humeralis",120.7749,3.25808235833673,"120.8 / 3.3%"
"Ronco (Haemulon sciurus)","Ronco","Haemulon sciurus",102.5679,2.76692148386499,"102.6 / 2.8%"
"Cabeza dura (Carcharhinus perezi)","Cabeza dura","Carcharhinus perezi",89.364604415,2.4107429698079,"89.4 / 2.4%"
"Sardina Escamuda (Harengula clupeola)","Sardina Escamuda","Harengula clupeola",86.5494,2.33479864826739,"86.5 / 2.3%"
"Lisa (Mugil liza)","Lisa","Mugil liza",64.4611,1.73893393999068,"64.5 / 1.7%"
"Liseta (Mugil curema)","Liseta","Mugil curema",61.1995,1.65094743435125,"61.2 / 1.7%"
"Chopa (Archosargus rhomboidalis)","Chopa","Archosargus rhomboidalis",59.7763,1.61255449995524,"59.8 / 1.6%"
"Cornuda de ley (Sphyrna mokarran)","Cornuda de ley","Sphyrna mokarran",48.4937281385,1.30819036188831,"48.5 / 1.3%"
"Bajonao (Calamus bajonado)","Bajonao","Calamus bajonado",41.3483,1.11543182215191,"41.3 / 1.1%"
"Jiguagua (Caranx hippos)","Jiguagua","Caranx hippos",32.2676,0.870466448789164,"32.3 / 0.9%"
"Caballerote (Lutjanus griseus)","Caballerote","Lutjanus griseus",31.6634,0.854167256151397,"31.7 / 0.9%"
"Cubera (Lutjanus cyanopterus)","Cubera","Lutjanus cyanopterus",27.0814,0.730560998842147,"27.1 / 0.7%"
"Rubia (Ocyurus chrysurus)","Rubia","Ocyurus chrysurus",25.732,0.694158929088087,"25.7 / 0.7%"
"Chicharro (Selar crumenophthalmus)","Chicharro","Selar crumenophthalmus",24.5016,0.66096706112796,"24.5 / 0.7%"
"Sábalo (Megalops atlanticus)","Sábalo","Megalops atlanticus",24.2369,0.653826385372884,"24.2 / 0.7%"
"Tiburón Gata (Ginglymostoma cirratum)","Tiburón Gata","Ginglymostoma cirratum",23.0261745,0.62116526627994,"23 / 0.6%"
"Jurel-Gallego (Caranx latus)","Jurel-Gallego","Caranx latus",19.1802,0.517414390319265,"19.2 / 0.5%"
"Robalo (Centropomus undecimalis)","Robalo","Centropomus undecimalis",14.8395,0.40031755900057,"14.8 / 0.4%"
"Cibí (Caranx ruber)","Cibí","Caranx ruber",14.302,0.385817697956545,"14.3 / 0.4%"
"Perro (Lachnolaimus maximus)","Perro","Lachnolaimus maximus",11.2219,0.302727424465009,"11.2 / 0.3%"
"Cherna Criolla (Epinephelus striatus)","Cherna Criolla","Epinephelus striatus",10.7917,0.291122140332656,"10.8 / 0.3%"
"Macabí (Albula vulpes)","Macabí","Albula vulpes",8.9247,0.240757041599271,"8.9 / 0.2%"
"Loro (Scarus vetula)","Loro","Scarus vetula",8.5131,0.229653520100256,"8.5 / 0.2%"
"Tiburón Tigre (Galeocerdo cuvier)","Tiburón Tigre","Galeocerdo cuvier",7.4441588335,0.200817244047256,"7.4 / 0.2%"
"Cabrilla (Epinephelus guttatus)","Cabrilla","Epinephelus guttatus",7.4252,0.20030580134715,"7.4 / 0.2%"
"Caji (Lutjanus apodus)","Caji","Lutjanus apodus",3.5049,0.0945498846013072,"3.5 / 0.1%"
"Palometa (Trachinotus goodei)","Palometa","Trachinotus goodei",3.458,0.0932846874236983,"3.5 / 0.1%"
